x,k=0.01,k=0.1,k=0.15,k=0.3
1.118000,10.956400,6.596057,5.312032,3.152515
1.118500,10.961300,6.597658,5.312947,3.152686
1.119000,10.966200,6.599259,5.313862,3.152857
1.119500,10.971100,6.600859,5.314776,3.153028
1.120000,10.976000,6.602458,5.315690,3.153198
1.120500,10.980900,6.604056,5.316603,3.153368
1.121000,10.985800,6.605654,5.317515,3.153538
1.121500,10.990700,6.607251,5.318427,3.153708
1.122000,10.995600,6.608847,5.319337,3.153877
1.122500,11.000500,6.610442,5.320248,3.154046
1.123000,11.005400,6.612036,5.321157,3.154215
1.123500,11.010300,6.613630,5.322066,3.154383
1.124000,11.015200,6.615223,5.322974,3.154552
1.124500,11.020100,6.616815,5.323881,3.154720
1.125000,11.025000,6.618406,5.324788,3.154887
1.125500,11.029900,6.619996,5.325694,3.155055
1.126000,11.034800,6.621586,5.326600,3.155222
1.126500,11.039700,6.623175,5.327504,3.155389
1.127000,11.044600,6.624763,5.328408,3.155556
1.127500,11.049500,6.626350,5.329312,3.155723
1.128000,11.054400,6.627936,5.330214,3.155889
1.128500,11.059300,6.629522,5.331116,3.156055
1.129000,11.064200,6.631107,5.332018,3.156221
1.129500,11.069100,6.632691,5.332918,3.156386
1.130000,11.074000,6.634274,5.333818,3.156552
1.130500,11.078900,6.635857,5.334718,3.156717
1.131000,11.083800,6.637438,5.335616,3.156882
1.131500,11.088700,6.639019,5.336514,3.157046
1.132000,11.093600,6.640599,5.337412,3.157210
1.132500,11.098500,6.642179,5.338308,3.157374
1.133000,11.103400,6.643757,5.339204,3.157538
1.133500,11.108300,6.645335,5.340099,3.157702
1.134000,11.113200,6.646912,5.340994,3.157865
1.134500,11.118100,6.648488,5.341888,3.158028
1.135000,11.123000,6.650063,5.342781,3.158191
1.135500,11.127900,6.651638,5.343674,3.158354
1.136000,11.132800,6.653212,5.344566,3.158516
1.136500,11.137700,6.654785,5.345457,3.158678
1.137000,11.142600,6.656357,5.346347,3.158840
1.137500,11.147500,6.657928,5.347237,3.159002
1.138000,11.152400,6.659499,5.348127,3.159163
1.138500,11.157300,6.661069,5.349015,3.159324
1.139000,11.162200,6.662638,5.349903,3.159485
1.139500,11.167100,6.664206,5.350790,3.159646
1.140000,11.172000,6.665774,5.351677,3.159806
1.140500,11.176900,6.667340,5.352563,3.159966
